LTER_site,local_site,year,date_collected,depth,combined_tow,net_um,water_sampled,water_sam_QA,pull number,percent sample examined ,taxon_name,num_of_taxon,taxon_dens,avg_taxon_length ,num_indiv_meas,tot_counted ,tot_density
NWT,GL4,2012,7/17/12,13,26,80,102.102,204.2035225,5,0.25,Total copepod,159,0.778634952,2.046,50,377,1.84619734
NWT,GL4,2012,7/24/12,13.5,27,80,84.823,212.0575041,5,0.25,Daphnia pulicaria,352,1.65992711,2.034,50,586,2.763401382
NWT,GL4,2012,7/24/12,13.5,27,80,84.823,212.0575041,5,0.25,Neonate,96,0.452707394,NaN,NaN,586,2.763401382
NWT,GL4,2012,7/24/12,13.5,27,80,84.823,212.0575041,5,0.25,Hesperodiaptomus shoshone,94,0.44327599,1.979,50,586,2.763401382
NWT,GL4,2012,7/24/12,13.5,27,80,84.823,212.0575041,5,0.25,Nauplii,43,0.202775187,NaN,NaN,586,2.763401382
NWT,GL4,2012,7/24/12,13.5,27,80,84.823,212.0575041,5,0.25,Chydoridae sp.,1,0.004715702,NaN,NaN,586,2.763401382
NWT,GL4,2012,7/24/12,13.5,27,80,84.823,212.0575041,5,0.25,Total cladoceran,353,1.664642812,2.034,50,586,2.763401382
NWT,GL4,2012,7/24/12,13.5,27,80,84.823,212.0575041,5,0.25,Total copepod,94,0.44327599,1.979,50,586,2.763401382
NWT,GL4,2012,8/7/12,10,20,80,62.832,157.0796327,5,0.25,Daphnia pulicaria,432,2.750197417,2.309,50,582,3.705127075
NWT,GL4,2012,8/7/12,10,20,80,62.832,157.0796327,5,0.25,Neonate,36,0.229183118,NaN,NaN,582,3.705127075
NWT,GL4,2012,8/7/12,10,20,80,62.832,157.0796327,5,0.25,Hesperodiaptomus shoshone,87,0.553859202,1.983,50,582,3.705127075
NWT,GL4,2012,8/7/12,10,20,80,62.832,157.0796327,5,0.25,Nauplii,27,0.171887339,NaN,NaN,582,3.705127075
NWT,GL4,2012,8/7/12,10,20,80,62.832,157.0796327,5,0.25,Total cladoceran,432,2.750197417,2.309,50,582,3.705127075
NWT,GL4,2012,8/7/12,10,20,80,62.832,157.0796327,5,0.25,Total copepod,87,0.553859202,1.983,50,582,3.705127075
NWT,GL4,2013,7/23/13,12,24,80,188.496,188.4955592,5,0.25,Daphnia pulicaria,76,0.403192522,2.844,50,927,4.917887742
NWT,GL4,2013,7/23/13,12,24,80,188.496,188.4955592,5,0.25,Neonate,45,0.238732415,NaN,NaN,927,4.917887742
NWT,GL4,2013,7/23/13,12,24,80,188.496,188.4955592,5,0.25,Hesperodiaptomus shoshone,275,1.458920312,1.991,50,927,4.917887742
NWT,GL4,2013,7/23/13,12,24,80,188.496,188.4955592,5,0.25,Nauplii,527,2.795821834,NaN,NaN,927,4.917887742
NWT,GL4,2013,7/23/13,12,24,80,188.496,188.4955592,5,0.25,Bosminidae sp.,3,0.015915494,NaN,NaN,927,4.917887742
NWT,GL4,2013,7/23/13,12,24,80,188.496,188.4955592,5,0.25,Total cladoceran,79,0.419108017,2.844,50,927,4.917887742
NWT,GL4,2013,7/23/13,12,24,80,188.496,188.4955592,5,0.25,Total copepod,276,1.464225476,1.991,50,927,4.917887742
NWT,GL4,2013,7/30/13,9,18,80,169.646,169.6460033,6,0.3,Daphnia pulicaria,193,1.137663112,1.699,50,1191,7.020501379
NWT,GL4,2013,7/30/13,9,18,80,169.646,169.6460033,6,0.3,Neonate,106,0.624830517,NaN,NaN,1191,7.020501379
NWT,GL4,2013,7/30/13,9,18,80,169.646,169.6460033,6,0.3,Hesperodiaptomus shoshone,384,2.263536968,2.156,50,1191,7.020501379
NWT,GL4,2013,7/30/13,9,18,80,169.646,169.6460033,6,0.3,Nauplii,504,2.970892271,NaN,NaN,1191,7.020501379
NWT,GL4,2013,7/30/13,9,18,80,169.646,169.6460033,6,0.3,Chydoridae sp.,3,0.017683883,NaN,NaN,1191,7.020501379
NWT,GL4,2013,7/30/13,9,18,80,169.646,169.6460033,6,0.3,Total cladoceran,196,1.155346994,1.699,50,1191,7.020501379
NWT,GL4,2013,7/30/13,9,18,80,169.646,169.6460033,6,0.3,Total copepod,385,2.269431596,2.156,50,1191,7.020501379
NWT,GL4,2013,8/6/13,12,24,80,180.956,226.1946711,6,0.3,Daphnia pulicaria,371,1.640180108,2.168,50,1668,7.37417903
NWT,GL4,2013,8/6/13,12,24,80,180.956,226.1946711,6,0.3,Neonate,99,0.437676094,NaN,NaN,1668,7.37417903
NWT,GL4,2013,8/6/13,12,24,80,180.956,226.1946711,6,0.3,Hesperodiaptomus shoshone,376,1.662284961,2.156,50,1668,7.37417903
NWT,GL4,2013,8/6/13,12,24,80,180.956,226.1946711,6,0.3,Nauplii,818,3.616353985,NaN,NaN,1668,7.37417903
NWT,GL4,2013,8/6/13,12,24,80,180.956,226.1946711,6,0.3,Chydoridae sp.,1,0.004420971,NaN,NaN,1668,7.37417903
NWT,GL4,2013,8/6/13,12,24,80,180.956,226.1946711,6,0.3,Total cladoceran,197,0.870931216,2.168,50,1668,7.37417903
NWT,GL4,2013,8/6/13,12,24,80,180.956,226.1946711,6,0.3,Total copepod,379,1.675547873,2.156,50,1668,7.37417903
NWT,GL4,2013,8/13/13,12,24,80,226.195,226.1946711,6,0.3,Daphnia pulicaria,602,2.661424326,2.231,50,1523,6.733138287
NWT,GL4,2013,8/13/13,12,24,80,226.195,226.1946711,6,0.3,Neonate,177,0.782511804,NaN,NaN,1523,6.733138287
NWT,GL4,2013,8/13/13,12,24,80,226.195,226.1946711,6,0.3,Hesperodiaptomus shoshone,485,2.144170761,2.227,50,1523,6.733138287
NWT,GL4,2013,8/13/13,12,24,80,226.195,226.1946711,6,0.3,Nauplii,250,1.10524266,NaN,NaN,1523,6.733138287
NWT,GL4,2013,8/13/13,12,24,80,226.195,226.1946711,6,0.3,Chydoridae sp.,5,0.022104853,NaN,NaN,1523,6.733138287
NWT,GL4,2013,8/13/13,12,24,80,226.195,226.1946711,6,0.3,Total cladoceran,202,0.89303607,2.231,50,1523,6.733138287
NWT,GL4,2013,8/13/13,12,24,80,226.195,226.1946711,6,0.3,Total copepod,489,2.161854644,2.227,50,1523,6.733138287
NWT,GL4,2013,8/20/13,11,22,80,172.788,172.7875959,5,0.25,Daphnia pulicaria,256,1.481587834,2.27,50,718,4.155390878
NWT,GL4,2013,8/20/13,11,22,80,172.788,172.7875959,5,0.25,Hesperodiaptomus shoshone,203,1.174852853,2.223,50,718,4.155390878
NWT,GL4,2013,8/20/13,11,22,80,172.788,172.7875959,5,0.25,Nauplii,254,1.470012929,NaN,NaN,718,4.155390878
NWT,GL4,2013,8/20/13,11,22,80,172.788,172.7875959,5,0.25,Bosminidae sp.,2,0.011574905,NaN,NaN,718,4.155390878
NWT,GL4,2013,8/20/13,11,22,80,172.788,172.7875959,5,0.25,Total cladoceran,258,1.493162739,2.27,50,718,4.155390878
NWT,GL4,2013,8/20/13,11,22,80,172.788,172.7875959,5,0.25,Total copepod,206,1.19221521,2.223,50,718,4.155390878
NWT,GL4,2014,7/17/14,9,18,80,339.292,424.1150082,15,0.75,Daphnia pulicaria,248,0.58474705,2.27,50,2395,5.647053166
NWT,GL4,2014,7/17/14,9,18,80,339.292,424.1150082,15,0.75,Neonate,246,0.580031348,NaN,NaN,2395,5.647053166
NWT,GL4,2014,7/17/14,9,18,80,339.292,424.1150082,15,0.75,Hesperodiaptomus shoshone,441,1.039812295,1.402,50,2395,5.647053166
NWT,GL4,2014,7/17/14,9,18,80,339.292,424.1150082,15,0.75,Nauplii,1460,3.442462473,NaN,NaN,2395,5.647053166
NWT,GL4,2014,7/17/14,9,18,80,339.292,424.1150082,15,0.75,Total cladoceran,258,0.60832556,2.27,50,2395,5.647053166
NWT,GL4,2014,7/17/14,9,18,80,339.292,424.1150082,15,0.75,Total copepod,441,1.039812295,1.402,50,2395,5.647053166
NWT,GL4,2014,7/24/14,6,12,80,94.248,94.24777961,5,0.25,Daphnia pulicaria,103,1.092863943,1.646,50,906,9.612958563
NWT,GL4,2014,7/24/14,6,12,80,94.248,94.24777961,5,0.25,Neonate,50,0.530516477,NaN,NaN,906,9.612958563
NWT,GL4,2014,7/24/14,6,12,80,94.248,94.24777961,5,0.25,Hesperodiaptomus shoshone,336,3.565070725,1.043,50,906,9.612958563
NWT,GL4,2014,7/24/14,6,12,80,94.248,94.24777961,5,0.25,Nauplii,416,4.413897088,NaN,NaN,906,9.612958563
NWT,GL4,2014,7/24/14,6,12,80,94.248,94.24777961,5,0.25,Bosminidae sp.,1,0.01061033,NaN,NaN,906,9.612958563
NWT,GL4,2014,7/24/14,6,12,80,94.248,94.24777961,5,0.25,Total cladoceran,104,1.103474272,1.646,50,906,9.612958563
NWT,GL4,2014,7/24/14,6,12,80,94.248,94.24777961,5,0.25,Total copepod,336,3.565070725,0.816,50,906,9.612958563
NWT,GL4,2014,7/31/14,9,18,80,254.469,254.4690049,9,0.45,Daphnia pulicaria,94,0.369396658,1.306,50,1264,4.967206125
NWT,GL4,2014,7/31/14,9,18,80,254.469,254.4690049,9,0.45,Neonate,14,0.055016524,NaN,NaN,1264,4.967206125
NWT,GL4,2014,7/31/14,9,18,80,254.469,254.4690049,9,0.45,Hesperodiaptomus shoshone,724,2.845140217,1.558,50,1264,4.967206125
NWT,GL4,2014,7/31/14,9,18,80,254.469,254.4690049,9,0.45,Nauplii,430,1.689793223,NaN,NaN,1264,4.967206125
NWT,GL4,2014,7/31/14,9,18,80,254.469,254.4690049,9,0.45,Bosminidae sp.,1,0.003929752,NaN,NaN,1264,4.967206125
NWT,GL4,2014,7/31/14,9,18,80,254.469,254.4690049,9,0.45,Total cladoceran,95,0.37332641,1.306,50,1264,4.967206125
NWT,GL4,2014,7/31/14,9,18,80,254.469,254.4690049,9,0.45,Total copepod,726,2.852999721,1.074,50,1264,4.967206125
NWT,GL4,2014,8/7/14,11,22,80,172.788,172.7875959,5,0.25,Daphnia pulicaria,156,0.902842586,1.229,50,1244,7.19959088
NWT,GL4,2014,8/7/14,11,22,80,172.788,172.7875959,5,0.25,Neonate,155,0.897055134,NaN,NaN,1244,7.19959088
NWT,GL4,2014,8/7/14,11,22,80,172.788,172.7875959,5,0.25,Hesperodiaptomus shoshone,432,2.50017947,1.509,50,1244,7.19959088
NWT,GL4,2014,8/7/14,11,22,80,172.788,172.7875959,5,0.25,Nauplii,497,2.876363881,NaN,NaN,1244,7.19959088
NWT,GL4,2014,8/7/14,11,22,80,172.788,172.7875959,5,0.25,Bosminidae sp.,3,0.017362357,NaN,NaN,1244,7.19959088
NWT,GL4,2014,8/7/14,11,22,80,172.788,172.7875959,5,0.25,Chydoridae sp.,1,0.005787452,NaN,NaN,1244,7.19959088
NWT,GL4,2014,8/7/14,11,22,80,172.788,172.7875959,5,0.25,Total cladoceran,160,0.925992396,1.229,50,1244,7.19959088
NWT,GL4,2014,8/7/14,11,22,80,172.788,172.7875959,5,0.25,Total copepod,432,2.50017947,1.013,50,1244,7.19959088
NWT,GL4,2014,8/14/14,11,22,80,172.788,172.7875959,5,0.25,Daphnia pulicaria,368,2.129782511,1.487,50,2014,11.65592929
NWT,GL4,2014,8/14/14,11,22,80,172.788,172.7875959,5,0.25,Neonate,212,1.226939925,NaN,NaN,2014,11.65592929
NWT,GL4,2014,8/14/14,11,22,80,172.788,172.7875959,5,0.25,Hesperodiaptomus shoshone,685,3.964404946,1.792,50,2014,11.65592929
NWT,GL4,2014,8/14/14,11,22,80,172.788,172.7875959,5,0.25,Nauplii,657,3.802356277,NaN,NaN,2014,11.65592929
NWT,GL4,2014,8/14/14,11,22,80,172.788,172.7875959,5,0.25,Bosminidae sp.,92,0.532445628,0.472,49,2014,11.65592929
NWT,GL4,2014,8/14/14,11,22,80,172.788,172.7875959,5,0.25,Total cladoceran,460,2.662228139,0.979,99,2014,11.65592929
NWT,GL4,2014,8/14/14,11,22,80,172.788,172.7875959,5,0.25,Total copepod,685,3.964404946,1.792,50,2014,11.65592929
NWT,GL4,2014,8/21/14,9,18,80,367.566,367.5663405,13,0.65,Daphnia pulicaria,1665,4.529794534,1.709,50,3162,8.602528719
NWT,GL4,2014,8/21/14,9,18,80,367.566,367.5663405,13,0.65,Neonate,107,0.291103913,NaN,NaN,3162,8.602528719
NWT,GL4,2014,8/21/14,9,18,80,367.566,367.5663405,13,0.65,Hesperodiaptomus shoshone,847,2.304345928,1.729,50,3162,8.602528719
NWT,GL4,2014,8/21/14,9,18,80,367.566,367.5663405,13,0.65,Nauplii,373,1.0147828,NaN,NaN,3162,8.602528719
NWT,GL4,2014,8/21/14,9,18,80,367.566,367.5663405,13,0.65,Bosminidae sp.,139,0.378163027,0.464,50,3162,8.602528719
NWT,GL4,2014,8/21/14,9,18,80,367.566,367.5663405,13,0.65,Total cladoceran,1804,4.907957561,1.087,100,3162,8.602528719
NWT,GL4,2014,8/21/14,9,18,80,367.566,367.5663405,13,0.65,Total copepod,878,2.388684445,1.187,70,3162,8.602528719
NWT,GL4,2015,7/14/15,9,18,80,158.336,197.9203372,7,0.35,Daphnia pulicaria,99,0.50020125,2.925,16,1132,5.719472876
NWT,GL4,2015,7/14/15,9,18,80,158.336,197.9203372,7,0.35,Neonate,2,0.010105076,NaN,NaN,1132,5.719472876
NWT,GL4,2015,7/14/15,9,18,80,158.336,197.9203372,7,0.35,Hesperodiaptomus shoshone,168,0.848826363,1.794,34,1132,5.719472876
NWT,GL4,2015,7/14/15,9,18,80,158.336,197.9203372,7,0.35,Nauplii,863,4.360340187,NaN,NaN,1132,5.719472876
NWT,GL4,2015,7/14/15,9,18,80,158.336,197.9203372,7,0.35,Total cladoceran,99,0.50020125,2.925,16,1132,5.719472876
NWT,GL4,2015,7/14/15,9,18,80,158.336,197.9203372,7,0.35,Total copepod,878,4.436128255,1.794,34,1132,5.719472876
NWT,GL4,2015,7/23/15,9,18,80,113.097,141.3716694,5,0.25,Daphnia pulicaria,74,0.523442924,1.282,22,979,6.925008413
NWT,GL4,2015,7/23/15,9,18,80,113.097,141.3716694,5,0.25,Neonate,110,0.778090833,NaN,NaN,979,6.925008413
NWT,GL4,2015,7/23/15,9,18,80,113.097,141.3716694,5,0.25,Hesperodiaptomus shoshone,325,2.298904734,1.491,28,979,6.925008413
NWT,GL4,2015,7/23/15,9,18,80,113.097,141.3716694,5,0.25,Nauplii,470,3.324569922,NaN,NaN,979,6.925008413
NWT,GL4,2015,7/23/15,9,18,80,113.097,141.3716694,5,0.25,Total cladoceran,74,0.523442924,1.282,22,979,6.925008413
NWT,GL4,2015,7/23/15,9,18,80,113.097,141.3716694,5,0.25,Total copepod,325,2.298904734,1.491,28,979,6.925008413
NWT,GL4,2015,7/28/15,10,20,80,125.664,157.0796327,5,0.25,Daphnia pulicaria,82,0.522028213,1.213,19,1042,6.633578028
NWT,GL4,2015,7/28/15,10,20,80,125.664,157.0796327,5,0.25,Neonate,87,0.553859202,NaN,NaN,1042,6.633578028
NWT,GL4,2015,7/28/15,10,20,80,125.664,157.0796327,5,0.25,Hesperodiaptomus shoshone,319,2.030817074,1.297,31,1042,6.633578028
NWT,GL4,2015,7/28/15,10,20,80,125.664,157.0796327,5,0.25,Nauplii,553,3.520507341,NaN,NaN,1042,6.633578028
NWT,GL4,2015,7/28/15,10,20,80,125.664,157.0796327,5,0.25,Total cladoceran,82,0.522028213,1.213,19,1042,6.633578028
NWT,GL4,2015,7/28/15,10,20,80,125.664,157.0796327,5,0.25,Total copepod,320,2.037183272,1.297,31,1042,6.633578028
NWT,GL4,2015,8/6/15,11,22,80,193.522,241.9026343,7,0.35,Daphnia pulicaria,158,0.653155351,1.784,25,951,3.931333789
NWT,GL4,2015,8/6/15,11,22,80,193.522,241.9026343,7,0.35,Neonate,165,0.682092613,NaN,NaN,951,3.931333789
NWT,GL4,2015,8/6/15,11,22,80,193.522,241.9026343,7,0.35,Hesperodiaptomus shoshone,256,1.058277024,1.483,25,951,3.931333789
NWT,GL4,2015,8/6/15,11,22,80,193.522,241.9026343,7,0.35,Nauplii,351,1.450997014,NaN,NaN,951,3.931333789
NWT,GL4,2015,8/6/15,11,22,80,193.522,241.9026343,7,0.35,Total cladoceran,158,0.653155351,1.784,25,951,3.931333789
NWT,GL4,2015,8/6/15,11,22,80,193.522,241.9026343,7,0.35,Total copepod,277,1.145088811,1.483,25,951,3.931333789
NWT,GL4,2015,8/11/15,11,22,80,165.876,207.3451151,6,0.3,Daphnia pulicaria,304,1.466154627,1.804,22,893,4.306829218
NWT,GL4,2015,8/11/15,11,22,80,165.876,207.3451151,6,0.3,Neonate,238,1.147844741,NaN,NaN,893,4.306829218
NWT,GL4,2015,8/11/15,11,22,80,165.876,207.3451151,6,0.3,Hesperodiaptomus shoshone,316,1.524029152,1.61,28,893,4.306829218
NWT,GL4,2015,8/11/15,11,22,80,165.876,207.3451151,6,0.3,Nauplii,31,0.149509189,NaN,NaN,893,4.306829218
NWT,GL4,2015,8/11/15,11,22,80,165.876,207.3451151,6,0.3,Total cladoceran,304,1.466154627,1.804,22,893,4.306829218
NWT,GL4,2015,8/11/15,11,22,80,165.876,207.3451151,6,0.3,Total copepod,320,1.54332066,1.61,28,893,4.306829218
NWT,GL4,2015,8/18/15,11,22,80,138.23,172.7875959,5,0.25,Daphnia pulicaria,440,2.546479089,1.811,30,1097,6.348835366
NWT,GL4,2015,8/18/15,11,22,80,138.23,172.7875959,5,0.25,Neonate,72,0.416696578,NaN,NaN,1097,6.348835366
NWT,GL4,2015,8/18/15,11,22,80,138.23,172.7875959,5,0.25,Hesperodiaptomus shoshone,392,2.268681371,1.566,20,1097,6.348835366
NWT,GL4,2015,8/18/15,11,22,80,138.23,172.7875959,5,0.25,Nauplii,189,1.093828518,NaN,NaN,1097,6.348835366
NWT,GL4,2015,8/18/15,11,22,80,138.23,172.7875959,5,0.25,Total cladoceran,440,2.546479089,1.811,30,1097,6.348835366
NWT,GL4,2015,8/18/15,11,22,80,138.23,172.7875959,5,0.25,Total copepod,396,2.291831181,1.566,20,1097,6.348835366
NWT,GL4,2016,7/19/16,11,22,80,691.15,691.1503838,20,1,Daphnia pulicaria,3,0.004340589,NaN,NaN,1426,2.063226808
NWT,GL4,2016,7/19/16,11,22,80,691.15,691.1503838,20,1,Hesperodiaptomus shoshone,1045,1.511971959,2.012,50,1426,2.063226808
NWT,GL4,2016,7/19/16,11,22,80,691.15,691.1503838,20,1,Nauplii,371,0.536786217,NaN,NaN,1426,2.063226808
NWT,GL4,2016,7/19/16,11,22,80,691.15,691.1503838,20,1,Bosminidae sp.,2,0.002893726,NaN,NaN,1426,2.063226808
NWT,GL4,2016,7/19/16,11,22,80,691.15,691.1503838,20,1,Total cladoceran,5,0.007234316,NaN,NaN,1426,2.063226808
NWT,GL4,2016,7/19/16,11,22,80,691.15,691.1503838,20,1,Total copepod,1050,1.519206275,2.012,50,1426,2.063226808
NWT,GL4,2016,7/26/16,11,22,80,691.15,691.1503838,20,1,Neonate,1,0.001446863,NaN,NaN,674,0.975185742
NWT,GL4,2016,7/26/16,11,22,80,691.15,691.1503838,20,1,Hesperodiaptomus shoshone,638,0.92309867,2.11,56,674,0.975185742
NWT,GL4,2016,7/26/16,11,22,80,691.15,691.1503838,20,1,Neonate,34,0.049193346,NaN,NaN,674,0.975185742
NWT,GL4,2016,7/26/16,11,22,80,691.15,691.1503838,20,1,Bosminidae sp.,1,0.001446863,NaN,NaN,674,0.975185742
NWT,GL4,2016,7/26/16,11,22,80,691.15,691.1503838,20,1,Total cladoceran,1,0.001446863,NaN,NaN,674,0.975185742
NWT,GL4,2016,7/26/16,11,22,80,691.15,691.1503838,20,1,Total copepod,638,0.92309867,2.11,56,674,0.975185742
NWT,GL4,2016,8/2/16,11,22,80,691.15,691.1503838,20,1,Daphnia pulicaria,464,0.671344487,1.052,10,1736,2.511754375
NWT,GL4,2016,8/2/16,11,22,80,691.15,691.1503838,20,1,Hesperodiaptomus shoshone,949,1.3730731,2.025,38,1736,2.511754375
NWT,GL4,2016,8/2/16,11,22,80,691.15,691.1503838,20,1,Nauplii,195,0.282138308,NaN,NaN,1736,2.511754375
NWT,GL4,2016,8/2/16,11,22,80,691.15,691.1503838,20,1,Bosminidae sp.,33,0.047746483,NaN,NaN,1736,2.511754375
NWT,GL4,2016,8/2/16,11,22,80,691.15,691.1503838,20,1,Total cladoceran,497,0.71909097,1.052,10,1736,2.511754375
NWT,GL4,2016,8/2/16,11,22,80,691.15,691.1503838,20,1,Total copepod,1044,1.510525096,1.352,38,1736,2.511754375
NWT,GL4,2016,8/9/16,11,22,80,691.15,691.1503838,20,1,Daphnia pulicaria,182,0.263329088,1.256,9,651,0.94190789
NWT,GL4,2016,8/9/16,11,22,80,691.15,691.1503838,20,1,Neonate,5,0.007234316,NaN,NaN,651,0.94190789
NWT,GL4,2016,8/9/16,11,22,80,691.15,691.1503838,20,1,Hesperodiaptomus shoshone,411,0.594660742,2.204,39,651,0.94190789
NWT,GL4,2016,8/9/16,11,22,80,691.15,691.1503838,20,1,Nauplii,4,0.005787452,NaN,NaN,651,0.94190789
NWT,GL4,2016,8/9/16,11,22,80,691.15,691.1503838,20,1,Bosminidae sp.,35,0.050640209,NaN,NaN,651,0.94190789
NWT,GL4,2016,8/9/16,11,22,80,691.15,691.1503838,20,1,Total cladoceran,217,0.313969297,1.256,9,651,0.94190789
NWT,GL4,2016,8/9/16,11,22,80,691.15,691.1503838,20,1,Total copepod,425,0.614916826,2.204,39,651,0.94190789
NWT,GL4,2016,8/16/16,11,22,80,691.15,691.1503838,20,1,Daphnia pulicaria,36,0.052087072,1.763,8,992,1.435288214
NWT,GL4,2016,8/16/16,11,22,80,691.15,691.1503838,20,1,Neonate,6,0.008681179,NaN,NaN,992,1.435288214
NWT,GL4,2016,8/16/16,11,22,80,691.15,691.1503838,20,1,Hesperodiaptomus shoshone,939,1.358604469,2.143,42,992,1.435288214
NWT,GL4,2016,8/16/16,11,22,80,691.15,691.1503838,20,1,Bosminidae sp.,1,0.001446863,NaN,NaN,992,1.435288214
NWT,GL4,2016,8/16/16,11,22,80,691.15,691.1503838,20,1,Total cladoceran,37,0.053533935,1.763,9,992,1.435288214
NWT,GL4,2016,8/16/16,11,22,80,691.15,691.1503838,20,1,Total copepod,949,1.3730731,2.143,42,992,1.435288214
NWT,GL4,2016,8/23/16,11,22,80,691.15,691.1503838,20,1,Daphnia pulicaria,121,0.175070437,1.371,17,720,1.041741446
NWT,GL4,2016,8/23/16,11,22,80,691.15,691.1503838,20,1,Neonate,6,0.008681179,NaN,NaN,720,1.041741446
NWT,GL4,2016,8/23/16,11,22,80,691.15,691.1503838,20,1,Hesperodiaptomus shoshone,585,0.846414925,2.018,33,720,1.041741446
NWT,GL4,2016,8/23/16,11,22,80,691.15,691.1503838,20,1,Nauplii,2,0.002893726,NaN,NaN,720,1.041741446
NWT,GL4,2016,8/23/16,11,22,80,691.15,691.1503838,20,1,Bosminidae sp.,3,0.004340589,NaN,NaN,720,1.041741446
NWT,GL4,2016,8/23/16,11,22,80,691.15,691.1503838,20,1,Total cladoceran,124,0.179411027,1.371,17,720,1.041741446
NWT,GL4,2016,8/23/16,11,22,80,691.15,691.1503838,20,1,Total copepod,588,0.850755514,2.018,33,720,1.041741446
NWT,GL4,2017,8/1/17,11,22,80,691.15,691.1503838,20,1,Hesperodiaptomus shoshone,1632,2.36128061,1.618,50,3332,4.820947913
NWT,GL4,2017,8/1/17,11,22,80,691.15,691.1503838,20,1,Nauplii,1697,2.455326713,NaN,NaN,3332,4.820947913
NWT,GL4,2017,8/1/17,11,22,80,691.15,691.1503838,20,1,Bosminidae sp.,3,0.004340589,NaN,NaN,3332,4.820947913
NWT,GL4,2017,8/1/17,11,22,80,691.15,691.1503838,20,1,Total cladoceran,3,0.004340589,NaN,NaN,3332,4.820947913
NWT,GL4,2017,8/1/17,11,22,80,691.15,691.1503838,20,1,Total copepod,1632,2.36128061,1.618,50,3332,4.820947913
NWT,GL4,2017,8/8/17,11,22,80,691.15,691.1503838,20,1,Daphnia pulicaria,30,0.043405894,1.966,10,2229,3.225057892
NWT,GL4,2017,8/8/17,11,22,80,691.15,691.1503838,20,1,Neonate,3,0.004340589,NaN,NaN,2229,3.225057892
NWT,GL4,2017,8/8/17,11,22,80,691.15,691.1503838,20,1,Hesperodiaptomus shoshone,1605,2.322215306,1.713,49,2229,3.225057892
NWT,GL4,2017,8/8/17,11,22,80,691.15,691.1503838,20,1,Nauplii,583,0.843521198,NaN,NaN,2229,3.225057892
NWT,GL4,2017,8/8/17,11,22,80,691.15,691.1503838,20,1,Bosminidae sp.,2,0.002893726,NaN,NaN,2229,3.225057892
NWT,GL4,2017,8/8/17,11,22,80,691.15,691.1503838,20,1,Chydoridae sp.,2,0.002893726,NaN,NaN,2229,3.225057892
NWT,GL4,2017,8/8/17,11,22,80,691.15,691.1503838,20,1,Total cladoceran,34,0.049193346,1.966,10,2229,3.225057892
NWT,GL4,2017,8/8/17,11,22,80,691.15,691.1503838,20,1,Total copepod,1609,2.328002758,1.713,49,2229,3.225057892
NWT,GL4,2017,8/14/17,11,22,80,691.15,691.1503838,20,1,Daphnia pulicaria,41,0.059321388,1.57,10,1972,2.853214071
